STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
725955 24259  19500210    38.8 24    32.3 24  1010.3 24   916.3 24   15.6 24    5.0 24   24.1  999.9    48.0*   35.1* 99.99  999.9  010010 
725955 24259  19500211    38.4 24    26.7 24  1016.8 24   922.3 24   21.7 24    3.5 24    7.0  999.9    46.0*   34.0*  0.00I 999.9  000000 
725955 24259  19500212    37.5 24    28.1 24  1024.1 24   928.9 24   22.6 24    3.5 24    8.0  999.9    48.0*   30.0*  0.00I 999.9  000000 
725955 24259  19500213    35.4 24    30.0 24  1024.4 24   928.9 24   22.4 24    1.9 24    6.0  999.9    46.9*   28.9* 99.99  999.9  010000 
725955 24259  19500214    42.6 24    36.1 24  1024.3 24   929.4 24   21.5 24    2.3 24    5.1  999.9    52.0*   37.0*  0.00I 999.9  000000 
725955 24259  19500215    44.2 24    34.1 24  1019.7 24   925.4 24   29.8 24    6.8 24   21.0  999.9    61.0*   34.0*  0.00I 999.9  000000 
725955 24259  19500216    44.8 24    34.8 24  1017.6 24   923.7 24   24.2 24    5.4 24   15.9  999.9    57.0*   39.0* 99.99  999.9  010000 
725955 24259  19500217    39.4 24    30.0 24  1024.1 24   929.0 24   36.5 24    3.0 24    8.9  999.9    55.0*   28.0*  0.00I 999.9  000000 
725955 24259  19500218    39.2 24    29.7 24  1021.4 24   926.4 24   35.0 24    0.9 24    5.1  999.9    62.1*   26.1*  0.00I 999.9  000000 
725955 24259  19500219    43.0 24    29.9 24  1019.7 24   925.3 24   38.9 24    4.3 24    8.9  999.9    62.1*   28.9*  0.00I 999.9  000000 
725955 24259  19500220    39.0 24    27.1 24  1021.9 24   927.1 24   36.9 24    4.4 24   15.0  999.9    52.0*   26.1*  0.00I 999.9  000000 
725955 24259  19500221    37.3 24    25.2 24  1025.5 24   930.1 24   37.5 24    4.0 24    8.9  999.9    55.0*   25.0*  0.00I 999.9  000000 
725955 24259  19500222    37.9 24    25.6 24  1022.0 24   926.9 24   39.8 24    2.8 24    6.0  999.9    57.0*   24.1*  0.00I 999.9  000000 
725955 24259  19500223    42.7 24    32.4 24  1019.3 24   924.9 24   30.4 24    2.4 24    7.0  999.9    55.0*   32.0*  0.00I 999.9  000000 
725955 24259  19500224    49.5 24    41.3 24  1018.7 24   925.0 24   24.9 24    5.7 24   17.1  999.9    64.0*   39.9* 99.99  999.9  110000 
725955 24259  19500225    47.0 24    36.0 24  1018.5 24   924.9 24   25.2 24    7.5 24   22.0  999.9    64.9*   32.0*  0.00I 999.9  100000 
725955 24259  19500226    46.2 24    33.9 24  1015.0 24   921.5 24   31.9 24    7.2 24   15.0  999.9    62.1*   34.0* 99.99  999.9  010000 
725955 24259  19500227    44.6 24    32.6 24  1018.3 24   924.3 24   30.7 24    7.6 24   15.9  999.9    57.0*   37.9*  0.00I 999.9  000000 
725955 24259  19500228    42.7 24    29.5 24  1021.5 24   927.0 24   37.1 24    3.2 24    8.0  999.9    61.0*   30.9*  0.00I 999.9  000000 
725955 24259  19500301    44.7 24    31.3 24  1020.1 24   925.7 24   39.1 24    2.2 24    5.1  999.9    64.9*   26.1*  0.00I 999.9  000000 
725955 24259  19500302    48.9 24    30.7 24  1018.6 24   924.9 24   36.2 24    2.1 24    8.0  999.9    66.0*   41.0*  0.00I 999.9  000000 
725955 24259  19500303    51.0 24    38.9 24  1022.6 24   928.8 24   29.8 24    2.8 24    8.9  999.9    62.1*   43.0* 99.99  999.9  010000 
725955 24259  19500304    46.0 24    36.8 24  1021.7 24   927.6 24   35.2 24    4.0 24   13.0  999.9    63.0*   32.0*  0.00I 999.9  000000 
725955 24259  19500305    48.3 24    35.7 24  1010.4 24   917.4 24   25.1 24    9.6 24   20.0  999.9    62.1*   41.0* 99.99  999.9  010000 
725955 24259  19500306    35.3 24    24.4 24  1023.9 24   928.7 24   27.2 24    3.4 24   13.0  999.9    46.9*   25.0* 99.99  999.9  001000 
725955 24259  19500307    34.1 24    22.1 24  1023.7 24   928.1 24   41.0 24    3.3 24    8.9  999.9    48.9*   24.1*  0.00I 999.9  000000 
725955 24259  19500308    41.4 24    28.6 24  1014.0 24   919.8 24   18.2 24    5.8 24   17.1  999.9    53.1*   35.1* 99.99  999.9  010000 
725955 24259  19500309    39.3 24    28.9 24  1012.6 24   918.6 24   18.2 24    4.9 24   17.1  999.9    48.9*   32.0* 99.99  999.9  011000 
725955 24259  19500310    36.2 24    25.5 24  1015.0 24   920.5 24   20.4 24    6.9 24   15.9  999.9    48.9*   30.0* 99.99  999.9  011000 
725955 24259  19500311    31.4 24    17.8 24  1018.2 24   923.0 24   25.6 24    6.7 24   17.1  999.9    43.0*   21.9* 99.99  999.9  001000 
725955 24259  19500312    30.1 24    14.6 24  1025.8 24   929.5 24   32.5 24    4.2 24   11.1  999.9    48.0*   16.0*  0.00I 999.9  000000 
725955 24259  19500313    36.9 24    19.5 24  1021.9 24   926.5 24   23.8 24    3.0 24    8.0  999.9    48.9*   28.9* 99.99  999.9  010000 
725955 24259  19500314    38.7 24    30.2 24  1018.7 24   923.9 24   21.7 24    4.2 24    8.0  999.9    52.0*   30.0* 99.99  999.9  010000 
725955 24259  19500315    40.7 24    27.5 24  1018.7 24   924.2 24   25.7 24    4.4 24   15.9  999.9    59.0*   25.0*  0.00I 999.9  000000 
